"Control panel";"Панель управления"
"Dashboard";"Рабочая панель"
"Welcome!";"Добро пожаловать!"
"Orders";"Заказы"
"Wrong login or password";"Неверный логин или пароль"
"Wrong email or password";"Неверный электронный адрес или пароль"
"You are already logged.";"Вы уже авторизованны."
"Remember me";"Запомнить меня"
"Login";"Логин"
"E-mail";"Электронный адрес"
"Password";"Пароль"
"Enter";"Войти"
"Login page";"Вход в систему"
"Save";"Сохранить"
"Personal blog";"Персональный блог"
"Collaborative blog (community)";"Коллективный блог (сообщество)"
"Title";"Заголовок"
"Description";"Описание"
"Type";"Тип"
"Create new blog";"Создай новый блог"
"Create blog";"Создание блога"
"Blogs";"Блоги"
"Blog";"Блог"
"Manage blogs";"Управление блогами"
"Value is required and can't be empty";"Значение не должно быть пустым"
"English";"Английский"
"Russian";"Русский"
"Admin blogs";"Уравление блогами"
"Created";"Создано"
"Edit";"Редактировать"
"Delete";"Удалить"
"Actions";"Действия"
"Fancy url";"Псевдоним для URL-адреса"
"No blogs here";"Не заведено ещё ни одного блога"
"available";"доступно"
"unavailable";"недоступно"
"Operating system";"Операционная система"
"Zend Framework version";"Версия Zend Framework"
"Database adapter";"Адаптер базы данных"
"Database server version";"Версия сервера базы данных"
"Safe mode";"Безопасный режим"
"Free disk space";"Свободно на диске"
"Disable functions";"Отключенные функции PHP"
"Image adapter component";"Работа и изображениями"
"Version";"версия"
"Memory limit";"Ограничение ОЗУ"
"Welcome";"Привет"
"Settings";"Настройки"
"Log Out";"Выйти"
"Go to homepage";"Перейти на сайт"
"Edit blog";"Редактирование блога"
"Changes for blog successfully saved";"Изменения информации блога успешно сохранено"
"New blog successfully created";"Новый блог создан"
"Error editing blog";"Ошибка при удалении блога"
"Blog deleted successfully";"Блог удалён"
"Create, edit, delete posts. Manage communities.";"Создание, редактирование, удаление постов. Управление сообществами."
"Sort table data by field";"Сортировать данные таблицы по полю "
"Next";"Следующие"
"Prev";"Предыдущие"
"in ascending order":"в прямом порядке"
"in descending order":"в обратном порядке"
